,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,exp_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
67,1649.286086,3.507826,1,68,1,1,1,2,5,2,40,1.0,0.033451,1560202.0,1563712.0,1562754.0,1562754.0,0.0,0.0,1560721.0,1562712.0,1560721.0,1563713.0,1562719.0,1563713.0,3510.0,519.0,2992.0,994.0,1991.0,35.0
68,1652.802241,3.5078394,1,69,1,1,1,2,3,1,35,1.0,0.2171555,1563719.0,1567228.0,1566454.0,1566454.0,0.0,0.0,1564237.0,1566228.0,1564237.0,1567228.0,1566235.0,1567228.0,3509.0,518.0,2991.0,993.0,1991.0,219.0
69,1656.318396,3.5078104,1,70,1,1,1,1,5,2,40,1.0,0.2834981,1567235.0,1570744.0,1570036.0,1570036.0,0.0,0.0,1567753.0,1569744.0,1567754.0,1570744.0,1569751.0,1570744.0,3509.0,519.0,2990.0,993.0,1991.0,285.0
70,1659.83454,3.4995018,1,71,1,1,2,2,3,1,30,2.0,-0.2163707,1570751.0,1574252.0,1573044.0,0.0,1573044.0,0.0,1571261.0,1573252.0,1571261.0,1574252.0,1573259.0,1574252.0,3501.0,510.0,2991.0,993.0,1991.0,-215.0
71,1663.342366,3.5078334,1,72,1,1,2,2,5,1,35,2.0,0.3167088,1574259.0,1577769.0,1577093.0,0.0,1577093.0,0.0,1574777.0,1576768.0,1574777.0,1577769.0,1576775.0,1577769.0,3510.0,518.0,2992.0,994.0,1991.0,318.0
72,1666.85855,3.5078092,1,73,1,2,2,2,2,1,40,2.0,0.2584783,1577775.0,1581284.0,1580551.0,0.0,1580551.0,0.0,1578293.0,1580284.0,1578294.0,1581284.0,1580291.0,1581284.0,3509.0,519.0,2990.0,993.0,1991.0,260.0
73,1670.374689,3.5078604,1,74,1,2,2,2,3,2,45,1.0,0.2750124,1581291.0,1584800.0,1584084.0,1584084.0,0.0,0.0,1581810.0,1583801.0,1581810.0,1584800.0,1583808.0,1584801.0,3509.0,519.0,2990.0,993.0,1991.0,276.0
74,1673.891036,3.5076313,1,75,1,1,1,2,2,1,40,1.0,0.03349735557,1584807.0,1588316.0,1587359.0,1587359.0,0.0,0.0,1585325.0,1587317.0,1585325.0,1588317.0,1587324.0,1588317.0,3509.0,518.0,2992.0,993.0,1992.0,35.0
75,1677.406995,3.5078473,1,76,1,1,2,2,1,1,35,2.0,0.3084673,1588323.0,1591833.0,1591149.0,0.0,1591149.0,0.0,1588841.0,1590833.0,1588841.0,1591833.0,1590840.0,1591833.0,3510.0,518.0,2992.0,993.0,1992.0,309.0
76,1680.923287,3.5076978,1,77,1,2,1,2,3,2,40,2.0,0.2251369,1591840.0,1595349.0,1594582.0,0.0,1594582.0,0.0,1592358.0,1594349.0,1592358.0,1595349.0,1594356.0,1595349.0,3509.0,518.0,2991.0,993.0,1991.0,226.0
77,1684.43931,3.5078406,1,78,1,2,1,1,1,2,35,2.0,0.1085604,1595356.0,1598865.0,1597982.0,0.0,1597982.0,0.0,1595874.0,1597865.0,1595874.0,1598866.0,1597872.0,1598866.0,3509.0,518.0,2992.0,994.0,1991.0,110.0
78,1687.955483,3.507825,1,79,1,2,1,1,1,2,40,2.0,0.4418356,1598872.0,1602381.0,1601832.0,0.0,1601832.0,0.0,1599390.0,1601381.0,1599390.0,1602381.0,1601388.0,1602381.0,3509.0,518.0,2991.0,993.0,1991.0,444.0
79,1691.471642,3.5077973,1,80,1,1,2,1,1,1,45,2.0,0.3334088,1602388.0,1605897.0,1605239.0,0.0,1605239.0,0.0,1602906.0,1604897.0,1602907.0,1605897.0,1604904.0,1605897.0,3509.0,519.0,2990.0,993.0,1991.0,335.0
80,1694.987771,3.5078514,1,81,1,2,1,1,4,2,50,2.0,0.3500004,1605904.0,1609413.0,1608772.0,0.0,1608772.0,0.0,1606422.0,1608414.0,1606422.0,1609413.0,1608421.0,1609413.0,3509.0,518.0,2991.0,992.0,1992.0,351.0
81,1698.503933,3.5078352,1,82,1,2,1,2,1,2,45,2.0,0.5084534,1609420.0,1612930.0,1612447.0,0.0,1612447.0,0.0,1609938.0,1611930.0,1609938.0,1612930.0,1611936.0,1612930.0,3510.0,518.0,2992.0,994.0,1992.0,511.0
82,1702.020095,3.5078341,1,83,1,1,2,2,3,2,50,1.0,0.0668228,1612936.0,1616446.0,1615521.0,1615521.0,0.0,0.0,1613454.0,1615445.0,1613455.0,1616446.0,1615453.0,1616446.0,3510.0,519.0,2991.0,993.0,1991.0,68.0
83,1705.536267,3.5078107,1,84,1,2,2,2,3,2,45,2.0,-0.2497281,1616452.0,1619962.0,1618721.0,0.0,1618721.0,0.0,1616971.0,1618962.0,1616971.0,1619962.0,1618969.0,1619962.0,3510.0,519.0,2991.0,993.0,1991.0,-248.0
84,1709.052407,3.5078118,1,85,1,2,2,1,3,2,55,2.0,0.7250791,1619968.0,1623477.0,1623212.0,0.0,1623212.0,0.0,1620487.0,1622478.0,1620487.0,1623478.0,1622485.0,1623478.0,3509.0,519.0,2991.0,993.0,1991.0,727.0
85,1712.568532,3.5078556,1,86,1,1,1,2,1,1,50,1.0,0.3083612,1623485.0,1626994.0,1626311.0,1626311.0,0.0,0.0,1624003.0,1625994.0,1624003.0,1626994.0,1626001.0,1626994.0,3509.0,518.0,2991.0,993.0,1991.0,310.0
86,1716.084724,3.507806,1,87,1,1,1,2,3,1,45,1.0,0.2334589,1627001.0,1630510.0,1629752.0,1629752.0,0.0,0.0,1627519.0,1629511.0,1627519.0,1630510.0,1629517.0,1630510.0,3509.0,518.0,2991.0,993.0,1992.0,235.0
87,1719.600846,3.5078843,1,88,1,1,1,1,5,1,60,2.0,0.2084825,1630517.0,1634026.0,1633244.0,0.0,1633244.0,0.0,1631035.0,1633027.0,1631035.0,1634027.0,1633033.0,1634027.0,3509.0,518.0,2992.0,994.0,1992.0,211.0
88,1723.117174,3.5076978,1,89,1,1,2,1,1,1,65,1.0,0.2668166,1634033.0,1637543.0,1636818.0,1636818.0,0.0,0.0,1634551.0,1636542.0,1634551.0,1637543.0,1636549.0,1637543.0,3510.0,518.0,2992.0,994.0,1991.0,269.0
89,1726.633194,3.5078242,1,90,1,2,2,1,2,2,60,1.0,0.0334995,1637549.0,1641059.0,1640100.0,1640100.0,0.0,0.0,1638067.0,1640059.0,1638067.0,1641059.0,1640066.0,1641059.0,3510.0,518.0,2992.0,993.0,1992.0,34.0
90,1730.149345,3.5078297,1,91,1,2,1,2,2,1,40,2.0,0.3417842,1641065.0,1644574.0,1643926.0,0.0,1643926.0,0.0,1641584.0,1643575.0,1641584.0,1644574.0,1643582.0,1644574.0,3509.0,519.0,2990.0,992.0,1991.0,344.0
91,1733.665503,3.5078407,1,92,1,2,1,2,3,2,45,2.0,0.2417903,1644582.0,1648091.0,1647341.0,0.0,1647341.0,0.0,1645100.0,1647091.0,1645100.0,1648091.0,1647098.0,1648091.0,3509.0,518.0,2991.0,993.0,1991.0,243.0
92,1737.181666,3.507832,1,93,1,1,2,1,4,2,55,1.0,-0.0165963,1648098.0,1651607.0,1650599.0,1650599.0,0.0,0.0,1648615.0,1650606.0,1648615.0,1651607.0,1650615.0,1651607.0,3509.0,517.0,2992.0,992.0,1991.0,-16.0
93,1740.697883,3.5077589,1,94,1,2,2,1,3,1,50,2.0,0.5250792,1651614.0,1655123.0,1654656.0,0.0,1654656.0,0.0,1652132.0,1654124.0,1652132.0,1655123.0,1654130.0,1655123.0,3509.0,518.0,2991.0,993.0,1992.0,526.0
94,1744.213973,3.5078256,1,95,1,1,1,2,2,2,50,1.0,-0.0330911,1655130.0,1658640.0,1657615.0,1657615.0,0.0,0.0,1655648.0,1657639.0,1655648.0,1658640.0,1657646.0,1658640.0,3510.0,518.0,2992.0,994.0,1991.0,-31.0
95,1747.730139,3.5078506,1,96,1,2,2,1,3,2,55,2.0,0.308452,1658646.0,1662156.0,1661472.0,0.0,1661472.0,0.0,1659164.0,1661155.0,1659164.0,1662156.0,1661162.0,1662156.0,3510.0,518.0,2992.0,994.0,1991.0,310.0
