,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,ext_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
40,582.0721906,3.5079167,1,41,1,1,2,2,3,2,-40,1.0,-0.8824484,562818.0,566327.0,564454.0,564454.0,0.0,0.0,563336.0,565327.0,563336.0,566327.0,565334.0,566327.0,3509.0,518.0,2991.0,993.0,1991.0,-880.0
41,585.5884522,3.5162601,1,42,1,1,1,2,3,2,-35,2.0,-1.2329811,566334.0,569852.0,567627.0,0.0,567627.0,0.0,566853.0,568853.0,566853.0,569852.0,568859.0,569852.0,3518.0,519.0,2999.0,993.0,2000.0,-1232.0
42,589.1130199,3.5080457,1,43,1,2,2,2,5,2,-40,2.0,-1.2829868,569858.0,573368.0,571093.0,0.0,571093.0,0.0,570377.0,572368.0,570377.0,573369.0,572375.0,573369.0,3510.0,519.0,2992.0,994.0,1991.0,-1282.0
43,592.6292874,3.5079097,1,44,1,1,2,1,2,1,-35,2.0,-0.6912958,573375.0,576884.0,575202.0,0.0,575202.0,0.0,573893.0,575884.0,573893.0,576884.0,575891.0,576884.0,3509.0,518.0,2991.0,993.0,1991.0,-689.0
44,596.14563,3.5077949,1,45,1,1,2,1,4,2,-40,1.0,-1.1325889,576891.0,580400.0,578276.0,578276.0,0.0,0.0,577409.0,579401.0,577410.0,580400.0,579407.0,580400.0,3509.0,519.0,2990.0,993.0,1992.0,-1131.0
45,599.66177,3.5078955,1,46,1,1,2,2,2,1,-45,1.0,-0.9913227,580407.0,583916.0,581934.0,581934.0,0.0,0.0,580926.0,582917.0,580926.0,583917.0,582924.0,583917.0,3509.0,519.0,2991.0,993.0,1991.0,-990.0
46,603.1780191,3.5079094,1,47,1,1,1,2,2,2,-40,2.0,-1.0658924,583923.0,587433.0,585376.0,0.0,585376.0,0.0,584442.0,586433.0,584442.0,587433.0,586440.0,587433.0,3510.0,519.0,2991.0,993.0,1991.0,-1064.0
47,606.6942646,3.499581,1,48,1,2,1,1,2,1,-35,2.0,-1.2493978,587440.0,590941.0,588700.0,0.0,588700.0,0.0,587949.0,589942.0,587950.0,590941.0,589948.0,590941.0,3501.0,510.0,2991.0,993.0,1993.0,-1248.0
48,610.2021925,3.5078923,1,49,1,2,1,2,5,1,-45,1.0,-1.2575872,590948.0,594457.0,592208.0,592208.0,0.0,0.0,591466.0,593457.0,591466.0,594457.0,593464.0,594457.0,3509.0,518.0,2991.0,993.0,1991.0,-1256.0
49,613.7184127,3.5079306,1,50,1,1,1,2,4,2,-40,2.0,-1.2829659,594464.0,597974.0,595699.0,0.0,595699.0,0.0,594982.0,596973.0,594982.0,597974.0,596980.0,597974.0,3510.0,518.0,2992.0,994.0,1991.0,-1281.0
50,617.2348753,3.5077128,1,51,1,2,2,2,2,2,-45,1.0,-0.299859,597980.0,601490.0,600199.0,600199.0,0.0,0.0,598498.0,600490.0,598498.0,601490.0,600497.0,601490.0,3510.0,518.0,2992.0,993.0,1992.0,-298.0
51,620.7509266,3.5079004,1,52,1,2,2,2,1,1,-40,2.0,-1.1327935,601496.0,605006.0,602881.0,0.0,602881.0,0.0,602015.0,604006.0,602015.0,605006.0,604013.0,605006.0,3510.0,519.0,2991.0,993.0,1991.0,-1132.0
52,624.2671567,3.5079449,1,53,1,1,1,2,2,1,-45,2.0,-1.0996701,605013.0,608522.0,606430.0,0.0,606430.0,0.0,605531.0,607522.0,605531.0,608522.0,607529.0,608523.0,3509.0,518.0,2991.0,994.0,1991.0,-1099.0
53,627.7834243,3.5079278,1,54,1,1,2,2,2,2,-50,1.0,-1.1912694,608529.0,612038.0,609855.0,609855.0,0.0,0.0,609047.0,611038.0,609047.0,612038.0,611045.0,612038.0,3509.0,518.0,2991.0,993.0,1991.0,-1190.0
54,631.2996669,3.5079058,1,55,1,1,1,1,5,2,-40,1.0,-0.5825457,612045.0,615554.0,613981.0,613981.0,0.0,0.0,612563.0,614555.0,612563.0,615554.0,614561.0,615554.0,3509.0,518.0,2991.0,993.0,1992.0,-580.0
55,634.8158983,3.5079361,1,56,1,2,2,1,1,2,-35,2.0,-1.2578654,615561.0,619070.0,616821.0,0.0,616821.0,0.0,616080.0,618071.0,616080.0,619070.0,618077.0,619070.0,3509.0,519.0,2990.0,993.0,1991.0,-1256.0
56,638.3321843,3.508131067,1,57,1,1,1,2,1,1,-45,1.0,-1.0247727,619077.0,622588.0,620571.0,620571.0,0.0,0.0,619595.0,621587.0,619595.0,622588.0,621594.0,622588.0,3511.0,518.0,2993.0,994.0,1992.0,-1023.0
57,641.8568058,3.508091133,1,58,1,2,2,1,3,1,-40,2.0,-1.2330733,622604.0,626112.0,623887.0,0.0,623887.0,0.0,623120.0,625111.0,623120.0,626112.0,625119.0,626112.0,3508.0,516.0,2992.0,993.0,1991.0,-1232.0
58,645.3730823,3.5078391,1,59,1,1,2,1,5,2,-45,1.0,-1.0323899,626118.0,629627.0,627604.0,627604.0,0.0,0.0,626637.0,628628.0,626637.0,629627.0,628634.0,629627.0,3509.0,519.0,2990.0,993.0,1991.0,-1030.0
